what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1737742874867
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1737742874869
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1737742874870
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1737742874871
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1737742874871
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1737742874872
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1737742874872
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1737742874873
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1737742874874
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1737742874875
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1737742874875
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1737742874875
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1737742874879
os,sysinfo,,,"win32",1737742874881
arch,sysinfo,,,"x86",1737742874881
ws,sysinfo,,,"win32",1737742874881
locale,sysinfo,,,"en_US",1737742874881
processors,sysinfo,,,"12",1737742874881
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1737742874881
java.runtime.version,sysinfo,,,"1.8.0_45-b14",1737742874881
java.specification.name,sysinfo,,,"Java Platform API Specification",1737742874881
java.specification.vendor,sysinfo,,,"Oracle Corporation",1737742874881
java.specification.version,sysinfo,,,"1.8",1737742874881
java.vendor,sysinfo,,,"Oracle Corporation",1737742874881
java.version,sysinfo,,,"1.8.0_45",1737742874881
java.vm.info,sysinfo,,,"mixed mode",1737742874881
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1737742874881
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1737742874881
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1737742874881
java.vm.specification.version,sysinfo,,,"1.8",1737742874881
java.vm.vendor,sysinfo,,,"Oracle Corporation",1737742874881
java.vm.version,sysinfo,,,"25.45-b02",1737742874881
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1737742875431
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1737742875479
